Suburb,Price,Date
Flemington,957000.0,22/05/2016
Kensington,785000.0,3/09/2016
Kensington,852000.0,3/09/2016
Kensington,1037000.0,3/09/2016
Kensington,775000.0,3/12/2016
Kensington,1470000.0,4/03/2017
Kensington,630000.0,4/03/2017
Kensington,492500.0,4/06/2016
Kensington,420000.0,4/06/2016
Kensington,650000.0,4/06/2016
Kensington,1050000.0,4/06/2016
Kensington,1291000.0,6/08/2016
Kensington,420000.0,6/08/2016
Kensington,961000.0,7/05/2016
Kensington,1271000.0,7/05/2016
Kensington,1010000.0,7/05/2016
Kensington,750000.0,7/05/2016
Kensington,1675000.0,7/05/2016
Kensington,905000.0,8/10/2016
Kensington,960000.0,8/10/2016
Kensington,1031000.0,8/10/2016
Kensington,918000.0,8/10/2016
Kensington,870000.0,8/10/2016
Kensington,1165000.0,10/09/2016
Kensington,1710000.0,10/09/2016
Kensington,360000.0,10/12/2016
Kensington,1455000.0,10/12/2016
Kensington,365000.0,10/12/2016
Kensington,551000.0,10/12/2016
Kensington,442000.0,10/12/2016
Kensington,765000.0,10/12/2016
Kensington,515000.0,11/02/2017
Kensington,370000.0,12/06/2016
Kensington,1005000.0,12/11/2016
Kensington,1234500.0,13/08/2016
Kensington,666000.0,13/08/2016
Kensington,825000.0,14/05/2016
Kensington,770000.0,14/05/2016
Kensington,1135000.0,15/10/2016
Kensington,975000.0,15/10/2016
Kensington,812000.0,16/04/2016
Kensington,1900000.0,16/04/2016
Kensington,732000.0,18/06/2016
Kensington,1260000.0,19/11/2016
Kensington,1000000.0,19/11/2016
Kensington,700000.0,19/11/2016
Kensington,813500.0,22/05/2016
Kensington,526000.0,22/08/2016
Kensington,790000.0,22/08/2016
Kensington,700000.0,22/08/2016
Kensington,370000.0,22/08/2016
Kensington,1230000.0,22/08/2016
Kensington,460000.0,23/04/2016
Kensington,395000.0,23/04/2016
Kensington,1001000.0,24/09/2016
Kensington,850000.0,24/09/2016
Kensington,1335000.0,25/02/2017
Kensington,868000.0,25/02/2017
Kensington,960000.0,26/07/2016
Kensington,773000.0,26/07/2016
Kensington,631090.0,27/06/2016
Kensington,410000.0,27/06/2016
Kensington,425000.0,27/11/2016
Kensington,1211000.0,27/11/2016
Kensington,506000.0,27/11/2016
Kensington,806000.0,28/05/2016
Kensington,829000.0,28/05/2016
Kensington,786000.0,28/08/2016
Kensington,458000.0,30/07/2016
Melbourne,427000.0,3/12/2016
Melbourne,1160500.0,4/03/2017
Melbourne,780000.0,4/06/2016
Melbourne,535000.0,7/05/2016
Melbourne,450000.0,7/11/2016
Melbourne,360000.0,7/11/2016
Melbourne,665000.0,7/11/2016
Melbourne,386000.0,10/09/2016
Melbourne,659000.0,10/09/2016
Melbourne,671000.0,10/12/2016
Melbourne,545000.0,12/11/2016
Melbourne,450000.0,12/11/2016
Melbourne,432000.0,13/08/2016
Melbourne,400000.0,13/08/2016
Melbourne,210000.0,13/08/2016
Melbourne,750000.0,15/10/2016
Melbourne,375000.0,15/10/2016
Melbourne,680000.0,17/09/2016
Melbourne,470000.0,18/03/2017
Melbourne,650000.0,18/03/2017
Melbourne,483000.0,18/03/2017
Melbourne,610000.0,18/06/2016
Melbourne,700000.0,19/11/2016
Melbourne,520000.0,19/11/2016
Melbourne,440000.0,22/08/2016
Melbourne,436000.0,23/04/2016
Melbourne,733000.0,24/09/2016
Melbourne,675000.0,24/09/2016
Melbourne,1630000.0,25/02/2017
Melbourne,760000.0,28/05/2016
Melbourne,360000.0,28/08/2016
Melbourne,390000.0,30/07/2016
North Melbourne,2920000.0,3/09/2016
North Melbourne,1635000.0,3/09/2016
North Melbourne,491000.0,3/09/2016
North Melbourne,540000.0,3/12/2016
North Melbourne,340000.0,3/12/2016
North Melbourne,726000.0,4/03/2017
North Melbourne,1340000.0,4/03/2017
North Melbourne,1105000.0,4/03/2017
North Melbourne,841000.0,4/03/2017
North Melbourne,528500.0,4/06/2016
North Melbourne,585000.0,4/06/2016
North Melbourne,645000.0,7/05/2016
North Melbourne,410000.0,7/11/2016
North Melbourne,550000.0,7/11/2016
North Melbourne,470000.0,7/11/2016
North Melbourne,470000.0,7/11/2016
North Melbourne,475000.0,8/10/2016
North Melbourne,640000.0,8/10/2016
North Melbourne,1330000.0,10/09/2016
North Melbourne,720000.0,10/12/2016
North Melbourne,888000.0,10/12/2016
North Melbourne,1325000.0,10/12/2016
North Melbourne,368000.0,10/12/2016
North Melbourne,1300000.0,11/02/2017
North Melbourne,450000.0,12/11/2016
North Melbourne,1385000.0,13/08/2016
North Melbourne,990000.0,15/10/2016
North Melbourne,440000.0,16/04/2016
North Melbourne,606000.0,16/04/2016
North Melbourne,450000.0,16/07/2016
North Melbourne,1470000.0,17/09/2016
North Melbourne,591500.0,17/09/2016
North Melbourne,1300000.0,18/06/2016
North Melbourne,1010000.0,19/11/2016
North Melbourne,1266000.0,19/11/2016
North Melbourne,620000.0,19/11/2016
North Melbourne,540000.0,22/08/2016
North Melbourne,1200000.0,24/09/2016
North Melbourne,630000.0,24/09/2016
North Melbourne,560000.0,25/02/2017
North Melbourne,800000.0,27/06/2016
North Melbourne,665500.0,27/11/2016
North Melbourne,550055.0,27/11/2016
North Melbourne,358000.0,27/11/2016
North Melbourne,320000.0,27/11/2016
North Melbourne,1000000.0,27/11/2016
North Melbourne,598000.0,27/11/2016
North Melbourne,950000.0,28/05/2016
North Melbourne,1065000.0,28/05/2016
North Melbourne,885000.0,28/08/2016
North Melbourne,587134.0,28/08/2016
Parkville,1230000.0,3/09/2016
Parkville,1360000.0,3/12/2016
Parkville,1805000.0,8/10/2016
Parkville,352500.0,8/10/2016
Parkville,395000.0,11/02/2017
Parkville,307000.0,15/10/2016
Parkville,2200000.0,15/10/2016
Parkville,485000.0,15/10/2016
Parkville,1717500.0,19/11/2016
Parkville,1265000.0,19/11/2016
Parkville,401000.0,19/11/2016
Parkville,2375000.0,19/11/2016
Parkville,1851000.0,22/08/2016
Parkville,734600.0,22/08/2016
Parkville,1928000.0,24/09/2016
Parkville,526000.0,25/02/2017
Parkville,2236000.0,27/06/2016
Parkville,500000.0,27/11/2016
Parkville,1403000.0,27/11/2016
Parkville,965000.0,28/08/2016
Parkville,1040000.0,28/08/2016
Parkville,526000.0,30/07/2016
Parkville,750000.0,30/07/2016
Port Melbourne,1000000.0,4/06/2016
Port Melbourne,600000.0,4/06/2016
Port Melbourne,795000.0,6/08/2016
Port Melbourne,590000.0,6/08/2016
Port Melbourne,1275000.0,7/05/2016
Port Melbourne,1000000.0,7/05/2016
Port Melbourne,1820000.0,7/11/2016
Port Melbourne,655000.0,10/09/2016
Port Melbourne,1016500.0,10/09/2016
Port Melbourne,1350000.0,10/09/2016
Port Melbourne,1101000.0,10/12/2016
Port Melbourne,875000.0,18/06/2016
Port Melbourne,1384000.0,18/06/2016
Port Melbourne,720000.0,22/05/2016
Port Melbourne,1130000.0,22/05/2016
Port Melbourne,600000.0,22/08/2016
Port Melbourne,779000.0,24/09/2016
Port Melbourne,790000.0,24/09/2016
Port Melbourne,455500.0,24/09/2016
Port Melbourne,1350000.0,27/11/2016
Port Melbourne,2100000.0,27/11/2016
Port Melbourne,400000.0,28/05/2016
Port Melbourne,1405000.0,30/07/2016
South Yarra,1230000.0,3/12/2016
South Yarra,695000.0,4/03/2017
South Yarra,863000.0,4/03/2017
South Yarra,680000.0,4/03/2017
South Yarra,750000.0,4/06/2016
South Yarra,572000.0,4/06/2016
South Yarra,1460000.0,4/06/2016
South Yarra,659000.0,7/11/2016
South Yarra,1300000.0,8/10/2016
South Yarra,1300000.0,8/10/2016
South Yarra,1630000.0,10/09/2016
South Yarra,555000.0,12/11/2016
South Yarra,2695000.0,12/11/2016
South Yarra,805000.0,12/11/2016
South Yarra,360000.0,12/11/2016
South Yarra,832000.0,15/10/2016
South Yarra,3000000.0,15/10/2016
South Yarra,805000.0,17/09/2016
South Yarra,2050000.0,18/03/2017
South Yarra,2600000.0,18/03/2017
South Yarra,567500.0,19/11/2016
South Yarra,540000.0,22/05/2016
South Yarra,310000.0,23/04/2016
South Yarra,520000.0,26/07/2016
South Yarra,260800.0,28/05/2016
South Yarra,826000.0,28/08/2016
South Yarra,910000.0,28/08/2016
South Yarra,1715000.0,28/08/2016
South Yarra,1700000.0,28/08/2016
Southbank,720000.0,3/09/2016
Southbank,385500.0,4/03/2017
Southbank,868000.0,4/06/2016
Southbank,590000.0,4/06/2016
Southbank,530000.0,4/06/2016
Southbank,650000.0,6/08/2016
Southbank,990000.0,7/05/2016
Southbank,623000.0,7/05/2016
Southbank,592500.0,7/05/2016
Southbank,600000.0,7/11/2016
Southbank,485000.0,10/09/2016
Southbank,455000.0,11/02/2017
Southbank,569000.0,11/03/2017
Southbank,1220000.0,12/11/2016
Southbank,1250000.0,12/11/2016
Southbank,430000.0,12/11/2016
Southbank,480000.0,14/05/2016
Southbank,425000.0,16/04/2016
Southbank,815000.0,16/07/2016
Southbank,580000.0,18/03/2017
Southbank,700000.0,18/06/2016
Southbank,660000.0,19/11/2016
Southbank,622500.0,22/05/2016
Southbank,690000.0,23/04/2016
Southbank,800000.0,24/09/2016
Southbank,540000.0,24/09/2016
Southbank,370000.0,30/07/2016
Southbank,720000.0,30/07/2016
West Melbourne,1010000.0,3/09/2016
West Melbourne,650000.0,3/12/2016
West Melbourne,1260000.0,4/06/2016
West Melbourne,460000.0,4/06/2016
West Melbourne,2370000.0,4/06/2016
West Melbourne,800000.0,6/08/2016
West Melbourne,550000.0,7/05/2016
West Melbourne,660000.0,7/05/2016
West Melbourne,1055000.0,8/10/2016
West Melbourne,995000.0,18/03/2017
West Melbourne,1130000.0,18/06/2016
West Melbourne,443000.0,24/09/2016
West Melbourne,1120000.0,25/02/2017
West Melbourne,482000.0,26/07/2016
West Melbourne,620000.0,28/05/2016
West Melbourne,2100000.0,28/05/2016
West Melbourne,601000.0,30/07/2016
Carlton,735000.0,3/12/2016
Carlton,1460000.0,4/03/2017
Carlton,860000.0,4/06/2016
Carlton,1662000.0,7/05/2016
Carlton,1590000.0,7/05/2016
Carlton,610250.0,7/05/2016
Carlton,720000.0,7/05/2016
Carlton,840000.0,8/10/2016
Carlton,795000.0,10/12/2016
Carlton,705000.0,12/11/2016
Carlton,435000.0,13/08/2016
Carlton,1630100.0,14/05/2016
Carlton,480000.0,14/05/2016
Carlton,1600000.0,14/05/2016
Carlton,500000.0,14/05/2016
Carlton,920000.0,15/10/2016
Carlton,1600000.0,17/09/2016
Carlton,1010000.0,18/03/2017
Carlton,875000.0,18/03/2017
Carlton,1170000.0,18/06/2016
Carlton,1260000.0,18/06/2016
Carlton,600000.0,22/05/2016
Carlton,310000.0,22/05/2016
Carlton,1550000.0,22/08/2016
Carlton,2033000.0,23/04/2016
Carlton,1110000.0,24/09/2016
Carlton,2705000.0,25/02/2017
Carlton,1616000.0,25/02/2017
Carlton,585000.0,27/11/2016
Carlton,1162000.0,27/11/2016
Carlton,589000.0,28/05/2016
Carlton,2345000.0,28/08/2016
Carlton,1117000.0,28/08/2016
Carlton,600000.0,30/07/2016
Carlton,957000.0,30/07/2016
East Melbourne,4525000.0,3/12/2016
East Melbourne,3520000.0,4/06/2016
East Melbourne,740000.0,8/10/2016
East Melbourne,1015000.0,8/10/2016
East Melbourne,1400000.0,8/10/2016
East Melbourne,1935000.0,16/07/2016
East Melbourne,1475000.0,18/06/2016
East Melbourne,700000.0,22/08/2016
East Melbourne,565000.0,24/09/2016
East Melbourne,900000.0,25/02/2017
East Melbourne,630000.0,25/02/2017
East Melbourne,750000.0,28/05/2016
East Melbourne,872000.0,28/05/2016
East Melbourne,765000.0,28/08/2016
Docklands,360000.0,10/12/2016
Docklands,1370000.0,13/08/2016
Docklands,800000.0,27/06/2016
Melbourne,432000.0,6/05/2017
Melbourne,1850000.0,8/04/2017
Melbourne,333000.0,8/04/2017
Melbourne,452000.0,13/05/2017
Melbourne,895000.0,22/04/2017
Melbourne,275000.0,22/04/2017
Melbourne,683000.0,22/04/2017
Melbourne,640000.0,22/04/2017
Parkville,835000.0,6/05/2017
Parkville,3970000.0,13/05/2017
Parkville,2790000.0,20/05/2017
South Yarra,920000.0,13/05/2017
South Yarra,642000.0,13/05/2017
South Yarra,390500.0,29/04/2017
South Yarra,2050000.0,29/04/2017
Carlton,1520000.0,8/04/2017
Carlton,960000.0,20/05/2017
Carlton,995000.0,22/04/2017
Carlton,490000.0,29/04/2017
Carlton,500000.0,29/04/2017
East Melbourne,503000.0,8/04/2017
East Melbourne,810000.0,13/05/2017
East Melbourne,4275000.0,20/05/2017
Kensington,355000.0,8/04/2017
Kensington,425000.0,8/04/2017
Kensington,535000.0,8/04/2017
Kensington,500000.0,8/04/2017
Kensington,525000.0,13/05/2017
Kensington,1110000.0,20/05/2017
Kensington,917500.0,20/05/2017
Kensington,730000.0,20/05/2017
Kensington,811000.0,20/05/2017
Kensington,1190000.0,20/05/2017
Kensington,903000.0,22/04/2017
Kensington,902500.0,22/04/2017
Kensington,1817000.0,22/04/2017
Kensington,528000.0,22/04/2017
Kensington,1000000.0,29/04/2017
Kensington,380000.0,29/04/2017
Kensington,1817000.0,29/04/2017
North Melbourne,2161000.0,13/05/2017
North Melbourne,1485000.0,20/05/2017
North Melbourne,940000.0,29/04/2017
Southbank,505000.0,8/04/2017
Southbank,595000.0,8/04/2017
Southbank,580000.0,8/04/2017
Southbank,580000.0,13/05/2017
West Melbourne,1750000.0,13/05/2017
West Melbourne,1013000.0,20/05/2017
West Melbourne,1171000.0,20/05/2017
West Melbourne,1053000.0,22/04/2017
West Melbourne,295000.0,29/04/2017
Carlton,350000.0,1/07/2017
Carlton,620000.0,1/07/2017
Carlton,1760000.0,1/07/2017
Kensington,967000.0,1/07/2017
Kensington,850000.0,1/07/2017
Kensington,500000.0,1/07/2017
Kensington,535000.0,1/07/2017
North Melbourne,550000.0,1/07/2017
North Melbourne,962000.0,1/07/2017
North Melbourne,936000.0,1/07/2017
Kensington,855000.0,3/06/2017
Kensington,990000.0,3/06/2017
North Melbourne,970000.0,3/06/2017
Parkville,1770000.0,3/06/2017
South Yarra,2210000.0,3/06/2017
South Yarra,2400000.0,3/06/2017
Southbank,422000.0,3/06/2017
Southbank,590000.0,3/06/2017
West Melbourne,792000.0,3/06/2017
East Melbourne,1875000.0,17/06/2017
East Melbourne,1350000.0,17/06/2017
Kensington,1070000.0,17/06/2017
Kensington,730000.0,17/06/2017
Kensington,392000.0,17/06/2017
Kensington,1150000.0,17/06/2017
Kensington,1415000.0,17/06/2017
Kensington,370000.0,17/06/2017
Melbourne,740000.0,17/06/2017
North Melbourne,1000000.0,17/06/2017
North Melbourne,780000.0,17/06/2017
North Melbourne,550000.0,17/06/2017
Parkville,850000.0,17/06/2017
Parkville,900000.0,17/06/2017
Southbank,642500.0,17/06/2017
Southbank,422500.0,17/06/2017
Carlton,1000000.0,24/06/2017
Carlton,720000.0,24/06/2017
East Melbourne,885000.0,24/06/2017
Kensington,1250000.0,24/06/2017
Kensington,395000.0,24/06/2017
Kensington,840500.0,24/06/2017
North Melbourne,570000.0,24/06/2017
North Melbourne,850000.0,24/06/2017
South Yarra,945000.0,24/06/2017
West Melbourne,1370000.0,24/06/2017
Carlton,1100000.0,27/05/2017
Kensington,400000.0,27/05/2017
Kensington,715000.0,27/05/2017
Melbourne,720000.0,27/05/2017
North Melbourne,1126000.0,27/05/2017
North Melbourne,1746000.0,27/05/2017
North Melbourne,799000.0,27/05/2017
North Melbourne,1285000.0,27/05/2017
Parkville,1560000.0,27/05/2017
Southbank,600000.0,27/05/2017
Southbank,600000.0,27/05/2017
West Melbourne,660000.0,27/05/2017
Kensington,438000.0,8/07/2017
Kensington,710000.0,8/07/2017
Kensington,390000.0,8/07/2017
Melbourne,1075000.0,8/07/2017
North Melbourne,785000.0,8/07/2017
North Melbourne,620000.0,8/07/2017
Parkville,800000.0,8/07/2017
South Yarra,1855500.0,8/07/2017
West Melbourne,670000.0,8/07/2017
West Melbourne,510000.0,8/07/2017
East Melbourne,1300000.0,12/08/2017
Kensington,1225000.0,12/08/2017
North Melbourne,1475000.0,12/08/2017
North Melbourne,450000.0,12/08/2017
North Melbourne,525000.0,12/08/2017
South Yarra,1350000.0,12/08/2017
South Yarra,940000.0,12/08/2017
Southbank,625000.0,12/08/2017
Kensington,840000.0,15/07/2017
Kensington,535000.0,15/07/2017
Melbourne,387000.0,15/07/2017
North Melbourne,541000.0,15/07/2017
West Melbourne,380000.0,15/07/2017
West Melbourne,1900000.0,15/07/2017
Carlton,920000.0,22/07/2017
East Melbourne,895000.0,22/07/2017
North Melbourne,465000.0,22/07/2017
South Yarra,747500.0,22/07/2017
Carlton,920000.0,29/07/2017
Kensington,445000.0,29/07/2017
Kensington,501000.0,29/07/2017
Kensington,1060000.0,29/07/2017
Melbourne,565000.0,29/07/2017
Melbourne,540000.0,29/07/2017
North Melbourne,681000.0,29/07/2017
North Melbourne,1803000.0,29/07/2017
Southbank,732000.0,29/07/2017
